State, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Num NR, NR Passed, % NR Passed, % NR,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Num NR Fem, Fem NR Passed, % Fem NR Passed,% Fem NR,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male OtherNum NR Male,Num Male NR, Male NR Passed, % Male NR Passed, % Male NR,
Alabama,2064,1103,53.44,253,63,24.9,12.26,151,68,45.03,7.32,119,95,79.83,5.77,1340,784,58.51,64.92,2,0,0,0.1,31,11,35.48,1.5,108,52,48.15,5.23,0,0,0,0,60,29,48.33,2.91,765,382,49.93,37.06,133,34,25.56,6.44,51,14,27.45,2.47,45,39,86.67,2.18,466,266,57.08,22.58,0,0,0,0,13,5,38.46,0.63,41,17,41.46,1.99,0,0,0,0,16,7,43.75,0.78,1281,709,55.35,62.06,120,29,24.17,5.81,97,52,53.61,4.7,73,56,76.71,3.54,865,512,59.19,41.91,2,0,0,0.1,18,6,33.33,0.87,65,33,50.77,3.15,0,0,0,0,41,20,48.78,1.99, 
Alaska,61,49,80.33,1,0,0,1.64,1,0,0,1.64,10,7,70,16.39,42,35,83.33,68.85,0,0,0,0,2,0,0,3.28,5,4,80,8.2,0,0,0,0,0,0,0,0,14,9,64.29,22.95,1,0,0,1.64,0,0,0,0,1,0,0,1.64,11,8,72.73,18.03,0,0,0,0,1,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,47,40,85.11,77.05,0,0,0,0,1,0,0,1.64,9,7,77.78,14.75,31,27,87.1,50.82,0,0,0,0,1,0,0,1.64,5,4,80,8.2,0,0,0,0,0,0,0,0, 
Arizona,960,699,72.81,29,16,55.17,3.02,239,133,55.65,24.9,221,189,85.52,23.02,379,298,78.63,39.48,2,0,0,0.21,12,10,83.33,1.25,44,31,70.45,4.58,0,0,0,0,34,21,61.76,3.54,273,202,73.99,28.44,11,7,63.64,1.15,67,39,58.21,6.98,75,65,86.67,7.81,93,75,80.65,9.69,0,0,0,0,4,0,0,0.42,16,10,62.5,1.67,0,0,0,0,7,4,57.14,0.73,680,493,72.5,70.83,18,9,50,1.88,171,94,54.97,17.81,146,124,84.93,15.21,283,221,78.09,29.48,2,0,0,0.21,8,8,100,0.83,27,21,77.78,2.81,0,0,0,0,25,15,60,2.6, 
Arkansas,952,462,48.53,69,13,18.84,7.25,98,31,31.63,10.29,102,70,68.63,10.71,582,310,53.26,61.13,4,0,0,0.42,10,5,50,1.05,50,19,38,5.25,0,0,0,0,37,13,35.14,3.89,335,157,46.87,35.19,33,7,21.21,3.47,37,12,32.43,3.89,47,32,68.09,4.94,186,94,50.54,19.54,2,0,0,0.21,3,0,0,0.32,15,6,40,1.58,0,0,0,0,12,4,33.33,1.26,613,304,49.59,64.39,35,6,17.14,3.68,61,19,31.15,6.41,55,38,69.09,5.78,393,215,54.71,41.28,2,0,0,0.21,7,4,57.14,0.74,35,13,37.14,3.68,0,0,0,0,25,9,36,2.63, 
California,18100,12864,71.07,400,173,43.25,2.21,4697,2248,47.86,25.95,6879,5713,83.05,38.01,4253,3316,77.97,23.5,67,44,65.67,0.37,68,32,47.06,0.38,1025,832,81.17,5.66,0,0,0,0,711,506,71.17,3.93,6145,4296,69.91,33.95,168,66,39.29,0.93,1599,675,42.21,8.83,2488,2082,83.68,13.75,1257,968,77.01,6.94,20,14,70,0.11,18,9,50,0.1,339,277,81.71,1.87,0,0,0,0,256,205,80.08,1.41,11917,8542,71.68,65.84,231,107,46.32,1.28,3087,1569,50.83,17.06,4383,3623,82.66,24.22,2990,2343,78.36,16.52,47,30,63.83,0.26,50,23,46,0.28,682,553,81.09,3.77,0,0,0,0,447,294,65.77,2.47, 
Colorado,1613,1144,70.92,29,12,41.38,1.8,258,119,46.12,16,178,145,81.46,11.04,1016,771,75.89,62.99,2,0,0,0.12,12,9,75,0.74,94,65,69.15,5.83,0,0,0,0,24,21,87.5,1.49,431,295,68.45,26.72,5,0,0,0.31,83,27,32.53,5.15,54,47,87.04,3.35,249,193,77.51,15.44,0,0,0,0,0,0,0,0,32,21,65.62,1.98,0,0,0,0,8,7,87.5,0.5,1175,845,71.91,72.85,24,12,50,1.49,175,92,52.57,10.85,124,98,79.03,7.69,762,576,75.59,47.24,2,0,0,0.12,12,9,75,0.74,61,43,70.49,3.78,0,0,0,0,15,13,86.67,0.93, 
Connecticut,2106,1530,72.65,115,45,39.13,5.46,241,110,45.64,11.44,407,322,79.12,19.33,1190,927,77.9,56.51,0,0,0,0,7,3,42.86,0.33,78,65,83.33,3.7,0,0,0,0,68,58,85.29,3.23,657,468,71.23,31.2,48,16,33.33,2.28,83,37,44.58,3.94,128,97,75.78,6.08,343,269,78.43,16.29,0,0,0,0,2,0,0,0.09,30,26,86.67,1.42,0,0,0,0,23,22,95.65,1.09,1444,1059,73.34,68.57,67,29,43.28,3.18,158,73,46.2,7.5,279,225,80.65,13.25,843,656,77.82,40.03,0,0,0,0,5,2,40,0.24,48,39,81.25,2.28,0,0,0,0,44,35,79.55,2.09, 
Delaware,283,157,55.48,43,17,39.53,15.19,22,7,31.82,7.77,48,35,72.92,16.96,133,77,57.89,47,0,0,0,0,4,0,0,1.41,13,6,46.15,4.59,0,0,0,0,20,14,70,7.07,65,33,50.77,22.97,12,4,33.33,4.24,6,1,16.67,2.12,18,12,66.67,6.36,20,9,45,7.07,0,0,0,0,2,0,0,0.71,3,0,0,1.06,0,0,0,0,4,0,0,1.41,218,124,56.88,77.03,31,13,41.94,10.95,16,6,37.5,5.65,30,23,76.67,10.6,113,68,60.18,39.93,0,0,0,0,2,0,0,0.71,10,4,40,3.53,0,0,0,0,16,10,62.5,5.65, 
District-of-Columbia,183,75,40.98,75,10,13.33,40.98,31,11,35.48,16.94,9,7,77.78,4.92,49,44,89.8,26.78,0,0,0,0,0,0,0,0,10,2,20,5.46,0,0,0,0,9,1,11.11,4.92,79,32,40.51,43.17,33,3,9.09,18.03,14,7,50,7.65,2,0,0,1.09,20,19,95,10.93,0,0,0,0,0,0,0,0,3,0,0,1.64,0,0,0,0,7,1,14.29,3.83,104,43,41.35,56.83,42,7,16.67,22.95,17,4,23.53,9.29,7,5,71.43,3.83,29,25,86.21,15.85,0,0,0,0,0,0,0,0,7,2,28.57,3.83,0,0,0,0,2,0,0,1.09, 
Florida,11636,6543,56.23,1067,334,31.3,9.17,3624,1816,50.11,31.14,1290,923,71.55,11.09,4729,2938,62.13,40.64,23,10,43.48,0.2,78,40,51.28,0.67,429,254,59.21,3.69,0,0,0,0,396,228,57.58,3.4,3864,2043,52.87,33.21,428,140,32.71,3.68,1293,604,46.71,11.11,458,322,70.31,3.94,1384,810,58.53,11.89,7,2,28.57,0.06,21,10,47.62,0.18,156,82,52.56,1.34,0,0,0,0,117,73,62.39,1.01,7744,4483,57.89,66.55,638,193,30.25,5.48,2325,1209,52,19.98,830,600,72.29,7.13,3331,2119,63.61,28.63,16,8,50,0.14,56,29,51.79,0.48,272,172,63.24,2.34,0,0,0,0,276,153,55.43,2.37, 
Georgia,4760,3545,74.47,547,268,48.99,11.49,413,276,66.83,8.68,1461,1231,84.26,30.69,1981,1505,75.97,41.62,5,3,60,0.11,29,14,48.28,0.61,191,142,74.35,4.01,0,0,0,0,133,106,79.7,2.79,1487,1099,73.91,31.24,195,97,49.74,4.1,113,75,66.37,2.37,538,452,84.01,11.3,543,404,74.4,11.41,0,0,0,0,5,3,60,0.11,59,42,71.19,1.24,0,0,0,0,34,26,76.47,0.71,3267,2442,74.75,68.63,351,170,48.43,7.37,298,200,67.11,6.26,923,779,84.4,19.39,1436,1099,76.53,30.17,5,3,60,0.11,24,11,45.83,0.5,131,100,76.34,2.75,0,0,0,0,99,80,80.81,2.08, 
Hawaii,614,407,66.29,3,0,0,0.49,74,42,56.76,12.05,253,161,63.64,41.21,75,59,78.67,12.21,17,4,23.53,2.77,2,0,0,0.33,170,123,72.35,27.69,0,0,0,0,20,15,75,3.26,197,132,67.01,32.08,1,0,0,0.16,24,13,54.17,3.91,93,63,67.74,15.15,18,14,77.78,2.93,5,1,20,0.81,1,0,0,0.16,46,34,73.91,7.49,0,0,0,0,9,6,66.67,1.47,417,275,65.95,67.92,2,0,0,0.33,50,29,58,8.14,160,98,61.25,26.06,57,45,78.95,9.28,12,3,25,1.95,1,0,0,0.16,124,89,71.77,20.2,0,0,0,0,11,9,81.82,1.79, 
Idaho,240,181,75.42,2,0,0,0.83,23,12,52.17,9.58,21,17,80.95,8.75,157,124,78.98,65.42,1,0,0,0.42,5,5,100,2.08,9,7,77.78,3.75,0,0,0,0,22,16,72.73,9.17,63,48,76.19,26.25,0,0,0,0,9,4,44.44,3.75,6,6,100,2.5,36,29,80.56,15,0,0,0,0,2,0,0,0.83,4,0,0,1.67,0,0,0,0,6,4,66.67,2.5,177,133,75.14,73.75,2,0,0,0.83,14,8,57.14,5.83,15,11,73.33,6.25,121,95,78.51,50.42,1,0,0,0.42,3,0,0,1.25,5,4,80,2.08,0,0,0,0,16,12,75,6.67, 
Illinois,4803,3165,65.9,357,101,28.29,7.43,1210,501,41.4,25.19,1042,818,78.5,21.69,1720,1406,81.74,35.81,1,0,0,0.02,28,19,67.86,0.58,187,133,71.12,3.89,0,0,0,0,258,187,72.48,5.37,1787,1160,64.91,37.21,175,52,29.71,3.64,531,218,41.05,11.06,398,325,81.66,8.29,521,443,85.03,10.85,0,0,0,0,4,0,0,0.08,68,48,70.59,1.42,0,0,0,0,90,70,77.78,1.87,3010,2001,66.48,62.67,182,49,26.92,3.79,678,282,41.59,14.12,644,493,76.55,13.41,1196,961,80.35,24.9,1,0,0,0.02,24,15,62.5,0.5,119,85,71.43,2.48,0,0,0,0,166,116,69.88,3.46, 
Indiana,1996,1324,66.33,110,49,44.55,5.51,190,84,44.21,9.52,231,186,80.52,11.57,1314,913,69.48,65.83,0,0,0,0,18,11,61.11,0.9,77,50,64.94,3.86,0,0,0,0,56,31,55.36,2.81,500,331,66.2,25.05,38,19,50,1.9,58,22,37.93,2.91,83,70,84.34,4.16,291,200,68.73,14.58,0,0,0,0,1,0,0,0.05,19,12,63.16,0.95,0,0,0,0,10,8,80,0.5,1489,990,66.49,74.6,72,30,41.67,3.61,131,62,47.33,6.56,147,116,78.91,7.36,1019,711,69.77,51.05,0,0,0,0,17,11,64.71,0.85,58,38,65.52,2.91,0,0,0,0,45,22,48.89,2.25, 
Iowa,274,207,75.55,11,7,63.64,4.01,24,12,50,8.76,42,30,71.43,15.33,172,139,80.81,62.77,0,0,0,0,0,0,0,0,15,12,80,5.47,0,0,0,0,10,7,70,3.65,65,50,76.92,23.72,5,5,100,1.82,7,2,28.57,2.55,14,11,78.57,5.11,31,26,83.87,11.31,0,0,0,0,0,0,0,0,5,4,80,1.82,0,0,0,0,3,0,0,1.09,208,156,75,75.91,6,2,33.33,2.19,17,10,58.82,6.2,28,19,67.86,10.22,140,112,80,51.09,0,0,0,0,0,0,0,0,10,8,80,3.65,0,0,0,0,7,5,71.43,2.55, 
Kansas,132,86,65.15,3,0,0,2.27,18,5,27.78,13.64,29,23,79.31,21.97,63,49,77.78,47.73,1,0,0,0.76,1,0,0,0.76,8,5,62.5,6.06,0,0,0,0,9,3,33.33,6.82,25,17,68,18.94,0,0,0,0,4,0,0,3.03,9,8,88.89,6.82,11,8,72.73,8.33,0,0,0,0,1,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,107,69,64.49,81.06,3,0,0,2.27,14,4,28.57,10.61,20,15,75,15.15,52,41,78.85,39.39,1,0,0,0.76,0,0,0,0,8,5,62.5,6.06,0,0,0,0,9,3,33.33,6.82, 
